TKR,QTY
002203.SZ,0
601595.SH,-1900
601187.SH,0
002053.SZ,0
002926.SZ,0
000563.SZ,0
600884.SH,0
601555.SH,0
600498.SH,0
000027.SZ,100
000423.SZ,0
000598.SZ,0
600765.SH,0
600004.SH,0
603108.SH,0
002945.SZ,-100
000708.SZ,500
002030.SZ,0
002368.SZ,0
300144.SZ,0
002507.SZ,0
601568.SH,0
603156.SH,0
002266.SZ,0
003035.SZ,0
002409.SZ,-100
002797.SZ,0
002020.SZ,5800
603233.SH,0
002326.SZ,0
300748.SZ,0
601992.SH,0
000887.SZ,0
600299.SH,0
603026.SH,0
300676.SZ,0
000728.SZ,0
002010.SZ,0
601456.SH,0
002439.SZ,0
002906.SZ,0
603501.SH,0
002414.SZ,-200
000683.SZ,100
002958.SZ,1500
000738.SZ,0
300024.SZ,-100
300009.SZ,0
001227.SZ,100
000636.SZ,0
600755.SH,0
002544.SZ,0
600862.SH,0
002761.SZ,0
603589.SH,0
001914.SZ,0
600801.SH,0
002429.SZ,0
000553.SZ,0
002195.SZ,2100
300394.SZ,-80
002120.SZ,0
601162.SH,-100
600177.SH,0
600352.SH,100
600486.SH,0
000039.SZ,100
603056.SH,0
002407.SZ,-3700
600079.SH,0
603737.SH,0
002060.SZ,500
600271.SH,0
600588.SH,-400
002268.SZ,0
300573.SZ,0
300114.SZ,0
002557.SZ,0
600129.SH,0
300861.SZ,0
000400.SZ,0
600563.SH,0
601991.SH,0
002966.SZ,0
002185.SZ,-100
300037.SZ,0
603298.SH,0
000690.SZ,0
000831.SZ,0
300212.SZ,0
300433.SZ,-5300
600598.SH,0
600500.SH,100
600167.SH,100
002153.SZ,0
300832.SZ,0
300595.SZ,0
000778.SZ,0
600901.SH,0
002444.SZ,0
000997.SZ,0
000513.SZ,0
600655.SH,100
601696.SH,0
000783.SZ,0
002925.SZ,0
300251.SZ,0
603707.SH,-100
000009.SZ,0
603885.SH,0
002865.SZ,0
300776.SZ,0
600109.SH,0
603005.SH,0
000932.SZ,0
300017.SZ,-100
300181.SZ,300
000987.SZ,0
000031.SZ,1200
002092.SZ,1900
